# criteria: byte, interval: 600, nflows: 5, duration: 86400, start_time: 1360335600, end_time: 1360422000 
# labels:"[ 1] 6:80:* 43.21%  [203.190.176.0/20 *] 13.20% ", "[ 2] 6:*:* 13.14%  ", "[ 3] 1:2048:2048 7.70%  ", "[ 4] 17:*:* 5.75%  ", "[ 5] 6:873:* 3.88%  [2001:fe1d:bebe:38ee:e7ff:ac:1ff:915 2001:eb6a:ff3f:97c7:350:55fe:569:805d] 27.90% [64.185.115.251 203.190.178.175] 23.23% [* 203.190.0.0/16] 18.34% [2001:fb05:bf7c:efa2:e7fe:f07c:3064:6371 2001:fe1d:bebe:38ee:e7ff:ac:1ff:915] 17.18% ", "TOTAL"

1360335600, 4764081356, 950285097, 445418271, 428167898, 957880205, 7545832827
1360336200, 6459374318, 1108491215, 440406309, 301798751, 821524678, 9131595271
1360336800, 6122912032, 1044999034, 434554696, 156989056, 1925275231, 9684730049
1360337400, 4243867706, 1008444815, 444634687, 261231385, 2113082125, 8071260718
1360338000, 4043901736, 1034691809, 441270765, 309654327, 2326322453, 8155841090
1360338600, 2635967449, 1315376307, 439910903, 531852258, 2500231814, 7423338731
1360339200, 4138426257, 1005693108, 439534919, 550658049, 1592723737, 7727036070
1360339800, 5026109174, 1622431596, 445984061, 490955009, 1353902216, 8939382056
1360340400, 3871088213, 877745751, 443075725, 444627136, 1345009099, 6981545924
1360341000, 7526951946, 824527794, 437647506, 272709783, 1354596644, 10416433673
1360341600, 7771205887, 1125953816, 434377738, 69218335, 1326743051, 10727498827
1360342200, 3869004490, 2276005177, 444311993, 448972706, 200867894, 7239162260
1360342800, 3264859618, 1749650880, 445653440, 511803042, 0, 5971966980
1360343400, 2032418941, 1285913186, 449799039, 566131227, 10396226, 4344658619
1360344000, 1851623704, 1802600902, 445713448, 405102720, 14530573, 4519571347
1360344600, 1852858754, 2229380158, 447942207, 279535976, 41139714, 4850856809
1360345200, 2844265041, 1604412153, 450966154, 423222136, 0, 5322865484
1360345800, 3249087349, 1961749556, 440544637, 377289947, 0, 6028671489
1360346400, 4893632315, 1588167372, 437828660, 617049880, 0, 7536678227
1360347000, 2643991437, 1575081939, 437658712, 352884361, 31780990, 5041397439
1360347600, 1835463906, 1903588330, 435576165, 414193726, 723589, 4589545716
1360348200, 1814185115, 1675997031, 436302197, 462717335, 172379191, 4561580869
1360348800, 2372409555, 973396725, 435949808, 428493476, 248735975, 4458985539
1360349400, 2741365537, 674017427, 434963570, 326410373, 708142644, 4884899551
1360350000, 2698575793, 628635303, 437451018, 355017972, 669638858, 4789318944
1360350600, 1434528515, 1221991702, 440942529, 493338037, 679632235, 4270433018
1360351200, 1657377737, 958328145, 438011038, 510387805, 90290254, 3654394979
1360351800, 2496617288, 1561271904, 439852221, 424789482, 4150454, 4926681349
1360352400, 1905821574, 1924209453, 435251972, 600155144, 83735210, 4949173353
1360353000, 1150229339, 1791951541, 434641684, 684205226, 160198398, 4221226188
1360353600, 1099121432, 2465819069, 434486204, 604356347, 823602934, 5427385986
1360354200, 1439087980, 2392251158, 434597734, 538540349, 180088846, 4984566067
1360354800, 1371641843, 1702589520, 436812117, 624662415, 38711599, 4174417494
1360355400, 1661005670, 1235741054, 437116837, 550180553, 182099912, 4066144026
